id_id,id_n_id,id_time,id_meter_id,id_stand_energy_kirim,id_v1,id_v2,id_v3,id_frequency,id_power_factor,id_create_date,updated_at,created_at,reactive_energy_import,reactive_energy_export,apparent_energy_import,rssi,lokasi
607725,32,2024-01-01 17:20:03,OPMC_AHU_L6,3017140.0,226,226,228,50.03,1.0,2024-01-01 17:20:11.000,2024-01-01 17:20:11.000,2024-01-01 17:20:11.000,28419.0,28672.0,3048968,-103.0,107
607767,32,2024-01-01 17:40:03,OPMC_AHU_L6,3017140.0,225,226,227,49.97,1.0,2024-01-01 17:40:04.000,2024-01-01 17:40:04.000,2024-01-01 17:40:04.000,28419.0,28672.0,3048968,-93.0,107
607806,32,2024-01-01 17:50:03,OPMC_AHU_L6,3017140.0,225,225,227,49.94,1.0,2024-01-01 17:50:27.000,2024-01-01 17:50:27.000,2024-01-01 17:50:27.000,28419.0,28672.0,3048968,-95.0,107
607838,32,2024-01-01 18:00:02,OPMC_AHU_L6,3017140.0,225,225,227,50.01,1.0,2024-01-01 18:00:27.000,2024-01-01 18:00:27.000,2024-01-01 18:00:27.000,28419.0,28672.0,3048968,-99.0,107
607891,32,2024-01-01 18:20:03,OPMC_AHU_L6,3017140.0,227,228,229,50.0,1.0,2024-01-01 18:20:21.000,2024-01-01 18:20:21.000,2024-01-01 18:20:21.000,28419.0,28672.0,3048968,-91.0,107
607912,32,2024-01-01 18:30:03,OPMC_AHU_L6,3017140.0,227,228,229,50.0,1.0,2024-01-01 18:30:10.000,2024-01-01 18:30:10.000,2024-01-01 18:30:10.000,28419.0,28672.0,3048968,-90.0,107
607936,32,2024-01-01 18:40:03,OPMC_AHU_L6,3017140.0,227,227,229,49.98,1.0,2024-01-01 18:40:06.000,2024-01-01 18:40:06.000,2024-01-01 18:40:06.000,28419.0,28672.0,3048968,-101.0,107
607993,32,2024-01-01 19:00:03,OPMC_AHU_L6,3017140.0,227,228,229,49.99,1.0,2024-01-01 19:00:21.000,2024-01-01 19:00:21.000,2024-01-01 19:00:21.000,28419.0,28672.0,3048968,-91.0,107
608020,32,2024-01-01 19:10:03,OPMC_AHU_L6,3017140.0,227,228,230,50.01,1.0,2024-01-01 19:10:19.000,2024-01-01 19:10:19.000,2024-01-01 19:10:19.000,28419.0,28672.0,3048968,-93.0,107
608084,32,2024-01-01 19:30:03,OPMC_AHU_L6,3017140.0,227,228,230,50.04,1.0,2024-01-01 19:30:25.000,2024-01-01 19:30:25.000,2024-01-01 19:30:25.000,28419.0,28672.0,3048968,-89.0,107
608090,32,2024-01-01 19:40:03,OPMC_AHU_L6,3017140.0,227,228,229,49.98,1.0,2024-01-01 19:40:03.000,2024-01-01 19:40:03.000,2024-01-01 19:40:03.000,28419.0,28672.0,3048968,-89.0,107
608128,32,2024-01-01 19:50:03,OPMC_AHU_L6,3017140.0,227,227,229,49.97,1.0,2024-01-01 19:50:25.000,2024-01-01 19:50:25.000,2024-01-01 19:50:25.000,28419.0,28672.0,3048968,-93.0,107
608145,32,2024-01-01 20:00:03,OPMC_AHU_L6,3017140.0,227,228,229,49.99,1.0,2024-01-01 20:00:11.000,2024-01-01 20:00:11.000,2024-01-01 20:00:11.000,28419.0,28672.0,3048968,-91.0,107
608178,32,2024-01-01 20:10:03,OPMC_AHU_L6,3017140.0,227,228,230,50.03,1.0,2024-01-01 20:10:16.000,2024-01-01 20:10:16.000,2024-01-01 20:10:16.000,28419.0,28672.0,3048968,-91.0,107
608209,32,2024-01-01 20:20:03,OPMC_AHU_L6,3017140.0,227,228,229,49.99,1.0,2024-01-01 20:20:27.000,2024-01-01 20:20:27.000,2024-01-01 20:20:27.000,28419.0,28672.0,3048968,-91.0,107
608233,32,2024-01-01 20:30:03,OPMC_AHU_L6,3017140.0,227,228,229,49.99,1.0,2024-01-01 20:30:21.000,2024-01-01 20:30:21.000,2024-01-01 20:30:21.000,28419.0,28672.0,3048968,-90.0,107
608315,32,2024-01-01 21:00:03,OPMC_AHU_L6,3017140.0,227,228,230,49.99,1.0,2024-01-01 21:00:21.000,2024-01-01 21:00:21.000,2024-01-01 21:00:21.000,28419.0,28672.0,3048968,-89.0,107
608344,32,2024-01-01 21:10:02,OPMC_AHU_L6,3017140.0,228,228,230,49.97,1.0,2024-01-01 21:10:27.000,2024-01-01 21:10:27.000,2024-01-01 21:10:27.000,28419.0,28672.0,3048968,-96.0,107
